Name,Price Change (5m),Price Change (1h),Volume (5m),Volume (1h),ATH,Total Replies,Total Holders,TH 10 (%),TH 20 (%),Top 5 Holders,Total Trades (1h),Buys (1h),Sells (1h),Makers (1h),Market Cap
Physical Gold,-63,150,10962.76,31162.64,7478,30,71,20.59,30.5,3.19 | 2.88 | 2.06 | 1.95 | 1.95,563,304,259,233,7478.27
0xMert_3D,109,73,5978.84,10118.01,7735,13,33,25.53,34.49,3.52 | 3.45 | 2.87 | 2.67 | 2.59,120,76,44,71,7735.98
Iterative Agent,57,82,5351.45,11913.94,9002,14,28,31.14,40.57,3.94 | 3.83 | 3.45 | 3.40 | 3.32,169,101,68,75,9002.58
Kevin the menace penguin,-1,168,11410.52,191189.84,10298,26,182,22.62,32.71,2.93 | 2.92 | 2.66 | 2.64 | 2.63,3577,1898,1679,1229,"10,298.07"
Telser Siber Truck,36,87,2243.87,6977.48,7790,54,39,24.07,32.69,3.87 | 3.35 | 3.21 | 3.03 | 2.46,903,476,427,75,7790.8
The Cyber,33,87,2716.35,24729.57,7129,15,34,24,30.33,3.26 | 3.16 | 2.74 | 2.56 | 2.40,389,207,182,174,7129.13
Mwo Dweng,33,163,5849.58,13768.94,9751,33,49,29.25,40.1,3.95 | 3.68 | 3.58 | 3.32 | 3.14,262,154,108,87,9751.24
PVS,186,185,3029.13,4335.3,10587,3,45,29.26,41.39,3.92 | 3.76 | 3.66 | 3.21 | 3.10,90,63,27,56,10587.02
I Love Tesler,190,,13054.66,,10696,5,55,26.87,41.77,3.98 | 3.39 | 3.29 | 3.12 | 2.56,210,133,77,114,10696.82
Banana Tit Coin,43,89,1542.96,9851.95,7158,30,24,27.15,31.63,3.65 | 3.58 | 3.55 | 3.51 | 2.76,349,187,162,65,7158.53
69/420,29,79,1511.64,34295.49,7055,35,37,26.57,31.85,3.53 | 3.20 | 3.01 | 2.88 | 2.87,807,431,376,271,7055.62
Wet Ass Deep Sea Pigbutt Worm,-15,109,2165.31,6087.11,7706,,52,23.13,31.82,3.65 | 3.00 | 2.93 | 2.54 | 2.49,146,89,57,81,7706.7
Jail For Butter,48,115,1470.03,4031.7,8069,19,29,25.61,35.46,2.98 | 2.91 | 2.75 | 2.73 | 2.64,165,97,68,38,8069.34